market,Total_Startups,Closed,Avg_Funding_USD,Avg_Rounds,Series_A_Rate,Failure_Rate_Pct,Series_A_Rate_Pct
Health Care,756,26,14776262.556878306,2.5251322751322753,0.40343915343915343,3.44,40.34
Hospitality,204,7,6039999.107843137,1.5686274509803921,0.18627450980392157,3.43,18.63
Fashion,209,7,6643486.315789473,1.7129186602870814,0.27751196172248804,3.35,27.75
Enterprise Software,876,29,10998186.81392694,2.2146118721461185,0.5159817351598174,3.31,51.6
Financial Services,62,2,6506592.306451613,1.7258064516129032,0.25806451612903225,3.23,25.81
Public Transportation,62,2,9630585.661290323,1.935483870967742,0.3548387096774194,3.23,35.48
Biotechnology,2205,70,12729426.929705216,2.2829931972789117,0.3768707482993197,3.17,37.69
Internet,159,5,6854711.440251572,1.6540880503144655,0.2893081761006289,3.14,28.93
Transportation,67,2,10994822.910447761,2.253731343283582,0.3880597014925373,2.99,38.81
Apps,144,4,2957551.2291666665,1.5972222222222223,0.2013888888888889,2.78,20.14
Media,73,2,4980854.2602739725,1.7123287671232876,0.3150684931506849,2.74,31.51
Education,476,13,4710464.981092437,1.699579831932773,0.22899159663865545,2.73,22.9
Manufacturing,332,8,9095773.530120483,1.8102409638554218,0.28012048192771083,2.41,28.01
Real Estate,188,4,6417051.39893617,1.4734042553191489,0.1702127659574468,2.13,17.02
Health and Wellness,534,11,6599956.458801498,1.7378277153558053,0.1947565543071161,2.06,19.48
Entertainment,101,2,6758150.227722772,1.6534653465346534,0.32673267326732675,1.98,32.67
Payments,51,1,13955223.19607843,2.176470588235294,0.43137254901960786,1.96,43.14
Content,52,1,7653149.692307692,2.2115384615384617,0.36538461538461536,1.92,36.54
Analytics,428,8,9747471.259345794,2.210280373831776,0.45560747663551404,1.87,45.56
Consumer Electronics,55,1,6982468.127272727,1.8727272727272728,0.2727272727272727,1.82,27.27
Nanotechnology,57,1,12519506.421052631,2.7719298245614037,0.49122807017543857,1.75,49.12
SaaS,179,3,6952385.782122905,2.089385474860335,0.37988826815642457,1.68,37.99
Medical,87,1,6436280.804597701,1.8850574712643677,0.1839080459770115,1.15,18.39
Design,88,1,4433372.193181818,1.4545454545454546,0.20454545454545456,1.14,20.45
Digital Media,66,0,5031888.318181818,1.6666666666666667,0.22727272727272727,0.0,22.73
Internet of Things,50,0,5423956.2,2.04,0.2,0.0,20.0
Information Technology,60,0,7205703.433333334,1.9666666666666666,0.31666666666666665,0.0,31.67
Big Data,111,0,7613346.900900901,2.144144144144144,0.3153153153153153,0.0,31.53
Technology,168,0,13215439.220238095,2.4761904761904763,0.35714285714285715,0.0,35.71
